"Day","Gross sales","Net sales","Discounts","Returns","Taxes","Shipping charges","Total sales","Day (previous_year)","Gross sales (previous_year)","Net sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Taxes (previous_year)","Shipping charges (previous_year)","Total sales (previous_year)","Gross sales (previous_year) ","Net sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Taxes (previous_year) ","Shipping charges (previous_year) ","Total sales (previous_year) "
"2025-11-06",34016.63,24624.29,-122,-9270.34,2596.83,332.47,27774.09,"2024-11-06",35589.3,27866.54,-130.85,-7591.91,2567.25,174.26,30608.05,-4.418,-11.634,6.763,-22.108,1.152,90.789,-9.258
"2025-11-07",30134.6,20779.39,-79.4,-9275.81,2563.97,341.23,23828.49,"2024-11-07",42739.49,35648.65,-178.5,-6912.34,3441.59,135.78,39226.02,-29.492,-41.71,55.518,-34.192,-25.5,151.31,-39.253
"2025-11-08",32516.19,30644.84,-111.95,-1759.4,3074.72,939.49,34659.05,"2024-11-08",40353.16,33092.89,-247.75,-7012.52,3467.08,50.85,36610.82,-19.42,-7.397,54.813,74.91,-11.316,1747.571,-5.331
"2025-11-09",28995.24,28302.24,-11.4,-681.6,2915.21,790.19,32007.64,"2024-11-09",46161.86,44399.13,-248.73,-1514,4380.09,210,48989.22,-37.187,-36.254,95.416,54.98,-33.444,276.28,-34.663
"2025-11-10",28218.47,16561.85,-60.05,-11596.57,1963.98,91.17,18890.43,"2024-11-10",48242.89,37524.1,-8047.99,-2670.8,3637.88,122.57,41284.55,-41.507,-55.863,99.253,-334.198,-46.013,-25.618,-54.243
"2025-11-11",18644.16,15419.75,-69.6,-3154.81,1837.34,305.52,17562.61,"2024-11-11",21690.1,15893.56,-1020.24,-4776.3,1825.44,86.78,17805.78,-14.042,-2.981,93.178,33.948,0.651,252.062,-1.365
"2025-11-12",26353.89,18598.56,-293.7,-7461.63,2274.04,261.54,21401.86,"2024-11-12",121796.84,105790.56,-1903.59,-14102.69,10968.2,365.99,117124.75,-78.362,-82.419,84.571,47.09,-79.266,-28.539,-81.727
"2025-11-13",29392,22586.39,-141.2,-6664.41,2479.85,60,25241.96,"2024-11-13",73825.13,62847.38,-2668.78,-8308.97,5803.51,270,68920.89,-60.186,-64.061,94.709,19.792,-57.269,-77.777,-63.375
"2025-11-14",38738.08,32262.04,-76.65,-6399.39,3568.72,266.25,36191.44,"2024-11-14",66864.14,54447.84,-1977.52,-10438.78,5284.28,294.17,60026.29,-42.064,-40.746,96.123,38.695,-32.465,-9.491,-39.707
"2025-11-15",41404.35,39003.1,-78.25,-2323,4425.02,370.27,43798.39,"2024-11-15",55930.39,51380.33,-2911.72,-1638.34,5214.56,368.28,56963.17,-25.971,-24.089,97.312,-41.789,-15.141,0.54,-23.111
"2025-11-16",27766.4,26540.4,0,-1226,3018.13,480.55,30039.08,"2024-11-16",54199.21,44797.74,-6506.56,-2894.91,4162.1,536.13,49495.97,-48.769,-40.755,100,57.649,-27.485,-10.366,-39.31
"2025-11-17",54702.71,44898.25,0,-9804.46,5057.13,443.88,50594.24,"2024-11-17",37855.66,34414.49,-2271.67,-1169.5,3293.88,444.02,38152.39,44.503,30.463,100,-738.346,53.531,-0.031,32.61
"2025-11-18",38083.74,31390.19,-183.75,-6509.8,3368.79,1113.99,35983.58,"2024-11-18",48894.05,42739.07,-1933.06,-4221.92,4002.78,479.09,47220.94,-22.109,-26.553,90.494,-54.19,-15.838,132.522,-23.797
"2025-11-19",46031.83,39248.04,-30,-6753.79,4579,770.35,44701.77,"2024-11-19",36715.89,29183.79,-2694.82,-4837.28,2752.28,548.99,32485.06,25.373,34.485,98.886,-39.619,66.371,40.321,37.607
"2025-11-20",32411.35,27409.81,-124.2,-4877.34,2974.84,550.94,30980.8,"2024-11-20",37533.5,31450.79,-2080.96,-4001.75,2935.65,125.92,34512.36,-13.646,-12.848,94.031,-21.88,1.334,337.531,-10.232
"2025-11-21",45151.69,38655.78,-121.75,-6374.16,3967.94,876.59,43595.23,"2024-11-21",50426.24,48465.94,-1512.04,-448.26,4528.42,416.58,53410.94,-10.459,-20.241,91.947,-1321.978,-12.376,110.425,-18.377
"2025-11-22",35665.3,33241.3,-50,-2374,3613.11,1106.49,37960.9,"2024-11-22",49112.11,46326,-869.88,-1916.23,4641.93,570.88,51538.81,-27.379,-28.244,94.252,-23.889,-22.163,93.821,-26.345
"2025-11-23",21127.5,20743,-36.5,-348,2431.11,370.51,23544.62,"2024-11-23",28938.64,26691.7,-849.14,-1397.8,2348.95,363.88,29404.53,-26.992,-22.286,95.701,75.103,3.497,1.822,-19.928
"2025-11-24",31229.06,26591.82,-2633,-2004.24,2870.23,979.71,30464.27,"2024-11-24",29756.32,26856.32,-247.2,-2652.8,2530.15,341.75,29728.22,4.949,-0.984,-965.129,24.448,13.441,186.674,2.475
"2025-11-25",39448.63,23847.79,-7515.5,-8085.34,2581.85,245.51,26943.55,"2024-11-25",33254.51,29102.54,-2478.47,-1673.5,2683.18,180.03,31965.75,18.626,-18.055,-203.231,-383.139,-3.776,36.371,-15.711
"2025-11-26",42420,33828.58,-6722.56,-1868.86,3744.84,591.67,38205.65,"2024-11-26",23342.83,21278,-1653.1,-411.73,2185.11,227.2,23690.31,81.726,58.983,-306.663,-353.904,71.379,160.418,61.271
"2025-11-27",63104.66,58084.78,-1368.7,-3651.18,6136.99,567.91,64843.85,"2024-11-27",33416.63,26784.13,-803.36,-5829.14,2772.79,472.09,30029.01,88.842,116.862,-70.371,37.363,121.329,20.296,115.937
