"Day","Online store visitors","Sessions","Bounce rate","Average session duration","Checkout conversion rate","Completed checkout rate","Conversion rate","Pageviews","Reached checkout rate","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Bounce rate (previous_period)","Average session duration (previous_period)","Checkout conversion rate (previous_period)","Completed checkout rate (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Reached checkout rate (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Bounce rate (previous_period) ","Average session duration (previous_period) ","Checkout conversion rate (previous_period) ","Completed checkout rate (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Reached checkout rate (previous_period) "
"2025-09-27",5206,6610,0.3757942511346445,257.07095310136157,0.6413793103448275,0.6470588235294118,0.014069591527987898,49525,0.02193645990922844,"2025-06-28",4726,6135,0.34963325183374083,267.3473512632437,0.7109004739336493,0.723404255319149,0.02444987775061125,28212,0.03439282803585982,10.156580617858655,7.742461287693562,7.482411688160555,-3.843837656638486,-9.779310344827595,-10.553633217993081,-42.4553706505295,75.5458670069474,-36.217923439281286
"2025-09-28",4872,6162,0.3644920480363518,247.78172671210646,0.5935483870967742,0.625,0.014930217461863031,43993,0.02515417072379098,"2025-06-29",11132,12788,0.6566312167657179,135.90725680325306,0.693069306930693,0.7344632768361582,0.010947763528307789,36850,0.01579605880512981,-56.234279554437656,-51.81420081326243,-44.490600091832,82.31677435062143,-14.359447004608294,-14.903846153846155,36.376872073074594,19.383989145183175,59.24333426526686
"2025-09-29",5001,6460,0.38421052631578945,245.32399380804952,0.6439393939393939,0.6857142857142857,0.013157894736842105,46604,0.02043343653250774,"2025-06-30",5562,7545,0.34777998674618954,262.95626242544733,0.7142857142857143,0.74,0.02186878727634195,33946,0.03061630218687873,-10.086299892125135,-14.380384360503644,10.475168485237472,-6.705399770578526,-9.848484848484853,-7.335907335907334,-39.832535885167474,37.28863489070877,-33.259619637328626
"2025-09-30",5132,6667,0.3695815209239538,266.90055497225137,0.6506849315068494,0.6779661016949152,0.014249287535623219,49923,0.021898905054747262,"2025-07-01",4283,5317,0.42636825277412077,219.87775061124694,0.6910569105691057,0.7264150943396226,0.015986458529245816,21747,0.02313334587173218,19.822554284380107,25.390257664096296,-13.318705480694211,21.38588567068922,-5.842062852538267,-6.66960158485582,-10.866515497754527,129.56269830321423,-5.336196604803906
"2025-10-01",5310,6892,0.383633197910621,261.9098955310505,0.5458515283842795,0.5549738219895288,0.018136970400464306,49277,0.03322692977365061,"2025-07-02",5352,6861,0.4133508234951173,216.20929893601516,0.7631578947368421,0.8015873015873016,0.01690715639119662,27656,0.022154204926395568,-0.7847533632286996,0.45182917941990963,-7.189443904627264,21.13720215547248,-28.474627315163374,-30.7656420092271,7.273925791022066,78.17833381544692,49.9802402480374
"2025-10-02",5204,6815,0.3933969185619956,247.01834189288334,0.6585365853658537,0.6890243902439024,0.019809244314013204,50424,0.03008070432868672,"2025-07-03",5930,7850,0.39503184713375794,256.88,0.6582278481012658,0.6780487804878049,0.019872611464968153,34258,0.030191082802547772,-12.24283305227656,-13.184713375796179,-0.4138725987853714,-3.8390135888806656,0.04690431519700949,1.618705035971208,-0.31886675320278385,47.18897775702026,-0.36559958641740964
"2025-10-03",9247,10849,0.3062955111070145,175.71905244723015,0.6418918918918919,0.6691729323308271,0.008756567425569177,65192,0.013641810305097243,"2025-07-04",4715,6112,0.4036321989528796,237.3434227748691,0.6690647482014388,0.7,0.015215968586387435,25155,0.02274214659685864,96.118769883351,77.5032722513089,-24.115194005428766,-25.96422079329851,-4.061319383900022,-4.403866809881839,-42.45146225260343,159.1612005565494,-40.015291665644355
"2025-10-04",4918,6261,0.40967896502156204,241.58361284139914,0.7166666666666667,0.7755102040816326,0.01373582494809136,43686,0.019166267369429803,"2025-07-05",5355,7097,0.34732985768634633,254.71819078483867,0.7346153846153847,0.7844827586206896,0.026912780047907568,30526,0.03663519797097365,-8.160597572362278,-11.779625193743835,17.950978286329647,-5.156513519104863,-2.4432809773123974,-1.1437542049786928,-48.96170175046891,43.11079080128415,-47.68346172275257
"2025-10-05",4929,6056,0.4271796565389696,227.60204755614268,0.5486725663716814,0.5862068965517241,0.01023778071334214,43009,0.018659180977542933,"2025-07-06",8059,9537,0.5735556254587396,186.8483799937087,0.6571428571428571,0.6883116883116883,0.012058299255531089,35002,0.018349585823634267,-38.838565578855935,-36.49994757261193,-25.52079735992407,21.811089592431134,-16.5063485956137,-14.834092387768386,-15.097639423353044,22.87583566653334,1.6872051330439721
"2025-10-06",4826,6180,0.4186084142394822,218.06391585760517,0.6814159292035398,0.68,0.012459546925566342,40905,0.018284789644012946,"2025-07-07",5724,7409,0.41787015791604804,248.33175867188555,0.6310679611650486,0.6703910614525139,0.01754622756107437,31025,0.027804022135240924,-15.688329839273235,-16.58793359427723,0.1766712241706621,-12.188470365674217,7.978216473791677,1.433333333333347,-28.990166791137668,31.84528605962933,-34.23689006189713
